Photolysis rate coefficients, s-1
   1 = O3 -> O2 + O(1D)                                  
   2 = O3 -> O2 + O(3P)                                  
   3 = CHOCHO -> 2 HO2 + 2 CO                            
   4 = CHOCHO -> H2 + 2 CO                               
   5 = CHOCHO -> CH2O + CO                               
   6 = c-C6H10O + hv -> 5-hexenal                        
   7 = c-C6H10O + hv -> cyclopentane + CO                
   8 = c-C6H10O + hv -> 1-pentene + CO                   
values at z =      0.500 km
Columns: sza, photo-reactions
 sza, deg.          1          2          3          4          5          6          7          8
    0.0000  4.256E-05  4.914E-04  1.520E-04  0.000E+00  2.929E-05  1.247E-05  3.922E-07  9.297E-07
    0.5000  4.256E-05  4.914E-04  1.520E-04  0.000E+00  2.929E-05  1.247E-05  3.922E-07  9.296E-07
    1.0000  4.255E-05  4.914E-04  1.520E-04  0.000E+00  2.929E-05  1.247E-05  3.920E-07  9.294E-07
    1.5000  4.253E-05  4.914E-04  1.519E-04  0.000E+00  2.928E-05  1.247E-05  3.919E-07  9.290E-07
    2.0000  4.251E-05  4.913E-04  1.519E-04  0.000E+00  2.927E-05  1.246E-05  3.916E-07  9.285E-07
    2.5000  4.248E-05  4.913E-04  1.519E-04  0.000E+00  2.926E-05  1.246E-05  3.913E-07  9.279E-07
    3.0000  4.244E-05  4.912E-04  1.519E-04  0.000E+00  2.925E-05  1.245E-05  3.909E-07  9.271E-07
    3.5000  4.239E-05  4.911E-04  1.518E-04  0.000E+00  2.923E-05  1.245E-05  3.904E-07  9.261E-07
    4.0000  4.234E-05  4.910E-04  1.518E-04  0.000E+00  2.922E-05  1.244E-05  3.899E-07  9.250E-07
    4.5000  4.228E-05  4.910E-04  1.517E-04  0.000E+00  2.920E-05  1.243E-05  3.893E-07  9.238E-07
    5.0000  4.221E-05  4.908E-04  1.516E-04  0.000E+00  2.917E-05  1.242E-05  3.886E-07  9.224E-07
    5.5000  4.214E-05  4.907E-04  1.516E-04  0.000E+00  2.915E-05  1.241E-05  3.879E-07  9.208E-07
    6.0000  4.206E-05  4.906E-04  1.515E-04  0.000E+00  2.912E-05  1.239E-05  3.871E-07  9.192E-07
    6.5000  4.197E-05  4.905E-04  1.514E-04  0.000E+00  2.909E-05  1.238E-05  3.862E-07  9.173E-07
