sza, deg.      O(1D)      O(3P)
    0.0000  4.256E-05  4.914E-04
    0.5000  4.256E-05  4.914E-04
    1.0000  4.255E-05  4.914E-04
    1.5000  4.253E-05  4.914E-04
    2.0000  4.251E-05  4.913E-04
    2.5000  4.248E-05  4.913E-04
    3.0000  4.244E-05  4.912E-04
    3.5000  4.239E-05  4.911E-04
    4.0000  4.234E-05  4.910E-04
    4.5000  4.228E-05  4.910E-04
    5.0000  4.221E-05  4.908E-04
    5.5000  4.214E-05  4.907E-04
    6.0000  4.206E-05  4.906E-04
    6.5000  4.197E-05  4.905E-04
    7.0000  4.188E-05  4.903E-04
    7.5000  4.178E-05  4.901E-04
    8.0000  4.167E-05  4.900E-04
    8.5000  4.155E-05  4.898E-04
    9.0000  4.143E-05  4.896E-04
    9.5000  4.130E-05  4.894E-04
   10.0000  4.117E-05  4.891E-04
   10.5000  4.103E-05  4.889E-04
   11.0000  4.088E-05  4.887E-04
   11.5000  4.072E-05  4.884E-04
   12.0000  4.056E-05  4.881E-04
   12.5000  4.039E-05  4.878E-04
   13.0000  4.022E-05  4.875E-04
   13.5000  4.004E-05  4.872E-04
   14.0000  3.985E-05  4.869E-04
   14.5000  3.965E-05  4.865E-04
   15.0000  3.945E-05  4.862E-04
   15.5000  3.925E-05  4.858E-04
   16.0000  3.903E-05  4.854E-04
   16.5000  3.882E-05  4.850E-04
   17.0000  3.859E-05  4.846E-04
   17.5000  3.836E-05  4.842E-04
   18.0000  3.812E-05  4.838E-04
   18.5000  3.788E-05  4.833E-04
   19.0000  3.763E-05  4.828E-04
   19.5000  3.737E-05  4.824E-04
   20.0000  3.711E-05  4.819E-04
   20.5000  3.685E-05  4.814E-04
   21.0000  3.657E-05  4.808E-04
   21.5000  3.630E-05  4.803E-04
   22.0000  3.601E-05  4.797E-04
   22.5000  3.572E-05  4.791E-04
   23.0000  3.543E-05  4.785E-04
   23.5000  3.513E-05  4.779E-04
   24.0000  3.483E-05  4.773E-04
   24.5000  3.452E-05  4.766E-04
   25.0000  3.420E-05  4.760E-04
   25.5000  3.388E-05  4.753E-04
   26.0000  3.356E-05  4.746E-04
   26.5000  3.323E-05  4.738E-04
   27.0000  3.290E-05  4.731E-04
   27.5000  3.256E-05  4.723E-04
   28.0000  3.222E-05  4.716E-04
   28.5000  3.187E-05  4.708E-04
   29.0000  3.152E-05  4.699E-04
   29.5000  3.117E-05  4.691E-04
   30.0000  3.081E-05  4.682E-04
   30.5000  3.044E-05  4.673E-04
   31.0000  3.008E-05  4.664E-04
   31.5000  2.971E-05  4.655E-04
   32.0000  2.933E-05  4.646E-04
   32.5000  2.896E-05  4.636E-04
   33.0000  2.858E-05  4.626E-04
   33.5000  2.820E-05  4.616E-04
   34.0000  2.781E-05  4.605E-04
   34.5000  2.739E-05  4.592E-04
   35.0000  2.698E-05  4.581E-04
   35.5000  2.660E-05  4.570E-04
   36.0000  2.619E-05  4.559E-04
   36.5000  2.578E-05  4.547E-04
   37.0000  2.536E-05  4.535E-04
   37.5000  2.496E-05  4.523E-04
   38.0000  2.457E-05  4.511E-04
   38.5000  2.417E-05  4.498E-04
   39.0000  2.377E-05  4.485E-04
   39.5000  2.336E-05  4.472E-04
   40.0000  2.295E-05  4.458E-04
   40.5000  2.254E-05  4.444E-04
   41.0000  2.213E-05  4.430E-04
   41.5000  2.172E-05  4.416E-04
   42.0000  2.134E-05  4.402E-04
   42.5000  2.093E-05  4.387E-04
   43.0000  2.051E-05  4.371E-04
   43.5000  2.010E-05  4.356E-04
   44.0000  1.968E-05  4.340E-04
   44.5000  1.927E-05  4.323E-04
   45.0000  1.886E-05  4.306E-04
   45.5000  1.844E-05  4.289E-04
   46.0000  1.803E-05  4.272E-04
   46.5000  1.762E-05  4.254E-04
   47.0000  1.721E-05  4.235E-04
   47.5000  1.680E-05  4.217E-04
   48.0000  1.639E-05  4.198E-04
   48.5000  1.599E-05  4.178E-04
   49.0000  1.558E-05  4.159E-04
   49.5000  1.518E-05  4.138E-04
   50.0000  1.478E-05  4.118E-04
   50.5000  1.439E-05  4.097E-04
   51.0000  1.399E-05  4.075E-04
   51.5000  1.360E-05  4.054E-04
   52.0000  1.322E-05  4.031E-04
   52.5000  1.283E-05  4.008E-04
   53.0000  1.245E-05  3.985E-04
   53.5000  1.207E-05  3.962E-04
   54.0000  1.170E-05  3.937E-04
   54.5000  1.133E-05  3.913E-04
   55.0000  1.096E-05  3.888E-04
   55.5000  1.060E-05  3.862E-04
   56.0000  1.025E-05  3.836E-04
   56.5000  9.895E-06  3.809E-04
   57.0000  9.548E-06  3.782E-04
   57.5000  9.206E-06  3.754E-04
   58.0000  8.869E-06  3.726E-04
   58.5000  8.538E-06  3.697E-04
   59.0000  8.213E-06  3.667E-04
   59.5000  7.893E-06  3.637E-04
   60.0000  7.579E-06  3.606E-04
   60.5000  7.271E-06  3.575E-04
   61.0000  6.969E-06  3.542E-04
   61.5000  6.673E-06  3.510E-04
   62.0000  6.384E-06  3.476E-04
   62.5000  6.102E-06  3.442E-04
   63.0000  5.826E-06  3.407E-04
   63.5000  5.556E-06  3.371E-04
   64.0000  5.294E-06  3.335E-04
   64.5000  5.039E-06  3.298E-04
   65.0000  4.790E-06  3.260E-04
   65.5000  4.549E-06  3.221E-04
   66.0000  4.315E-06  3.181E-04
   66.5000  4.088E-06  3.140E-04
   67.0000  3.868E-06  3.098E-04
   67.5000  3.656E-06  3.056E-04
   68.0000  3.450E-06  3.012E-04
   68.5000  3.253E-06  2.967E-04
   69.0000  3.062E-06  2.922E-04
   69.5000  2.879E-06  2.875E-04
   70.0000  2.702E-06  2.827E-04
   70.5000  2.533E-06  2.777E-04
   71.0000  2.372E-06  2.727E-04
   71.5000  2.217E-06  2.675E-04
   72.0000  2.069E-06  2.622E-04
   72.5000  1.928E-06  2.568E-04
   73.0000  1.795E-06  2.512E-04
   73.5000  1.667E-06  2.454E-04
   74.0000  1.546E-06  2.395E-04
   74.5000  1.432E-06  2.334E-04
   75.0000  1.324E-06  2.272E-04
   75.5000  1.222E-06  2.208E-04
   76.0000  1.126E-06  2.142E-04
   76.5000  1.035E-06  2.074E-04
   77.0000  9.504E-07  2.005E-04
   77.5000  8.705E-07  1.932E-04
   78.0000  7.949E-07  1.857E-04
   78.5000  7.260E-07  1.782E-04
   79.0000  6.627E-07  1.705E-04
   79.5000  6.028E-07  1.625E-04
   80.0000  5.471E-07  1.543E-04
   80.5000  4.954E-07  1.459E-04
   81.0000  4.476E-07  1.373E-04
   81.5000  4.034E-07  1.285E-04
   82.0000  3.627E-07  1.195E-04
   82.5000  3.251E-07  1.103E-04
   83.0000  2.906E-07  1.011E-04
   83.5000  2.589E-07  9.172E-05
   84.0000  2.298E-07  8.237E-05
   84.5000  2.031E-07  7.307E-05
   85.0000  1.788E-07  6.393E-05
   85.5000  1.566E-07  5.504E-05
   86.0000  1.364E-07  4.653E-05
   86.5000  1.180E-07  3.856E-05
   87.0000  1.014E-07  3.127E-05
   87.5000  8.650E-08  2.483E-05
   88.0000  7.311E-08  1.935E-05
   88.5000  6.117E-08  1.492E-05
   89.0000  5.060E-08  1.149E-05
   89.5000  4.136E-08  8.888E-06
   90.0000  3.345E-08  6.853E-06
